No. of elements(n)	Time taken	log(n)
1		53570		0.0
2		3530		0.6931471805599453
4		4007		1.3862943611198906
8		6627		2.0794415416798357
16		6883		2.772588722239781
32		7169		3.4657359027997265
64		17832		4.1588830833596715
128		8703		4.852030263919617
256		9098		5.545177444479562
512		10085		6.238324625039508
1024		11350		6.931471805599453
2048		8970		7.6246189861593985
4096		760		8.317766166719343
8192		635		9.010913347279288
16384		676		9.704060527839234
32768		393		10.39720770839918
65536		161		11.090354888959125
131072		83		11.78350206951907
